date,ticker,action,qty,price
2026-08-04,B5P211,compra,10,109.55
2026-08-05,VWRA11,compra,26,113.99
2026-08-05,DIVO11,compra,15,128.42
2026-08-05,B5P211,compra,36,109.66
2026-08-05,CDIB11,compra,22,51.14
2026-08-10,VWRA11,compra,6,113.93
2026-08-10,DIVO11,compra,4,123.51
2026-08-10,B5P211,compra,8,109.94
2026-08-10,CDIB11,compra,2,51.22
2026-08-13,VWRA11,compra,2,116.46
2026-08-13,DIVO11,compra,3,119.56
2026-08-13,GOLD11,compra,21,23.54
2026-08-18,VWRA11,compra,12,115.55
2026-08-18,DIVO11,compra,7,120.44
2026-08-18,GOLD11,compra,15,23.76
2026-08-18,B5P211,compra,11,110.32
