date,wealth,invested,nominal_return,real_return
2026-08-05,4871.51,11058.38,-0.559473,
2026-08-06,4871.26,11058.38,-0.559496,
2026-08-07,4814.11,11058.38,-0.564664,
2026-08-08,4814.11,11058.38,-0.564664,
2026-08-09,4814.11,11058.38,-0.564664,
2026-08-10,5995.09,13217.96,-0.546444,
2026-08-11,5975.93,13217.96,-0.547893,
2026-08-12,5996.60,13217.96,-0.546329,
2026-08-13,7097.15,14303.90,-0.503831,
2026-08-14,7115.44,14303.90,-0.502552,
2026-08-15,7115.44,14303.90,-0.502552,
2026-08-16,7115.44,14303.90,-0.502552,
2026-08-17,7089.50,14303.90,-0.504366,
2026-08-18,9617.57,18103.50,-0.468745,
2026-08-19,9669.25,18103.50,-0.465891,
2026-08-20,9628.40,18103.50,-0.468147,
2026-08-21,9696.19,18103.50,-0.464402,
2026-08-22,9696.19,18103.50,-0.464402,
2026-08-23,9696.19,18103.50,-0.464402,
2026-08-24,18128.45,18124.82,0.000200,-0.000499
2026-08-25,18200.42,18103.50,0.005354,0.004650
2026-08-26,18200.42,18103.50,0.005354,0.004650
2026-08-28,18263.45,18103.50,0.008835,0.008130
2026-08-29,23053.01,22872.07,0.007911,0.007206
2026-08-30,23053.01,22872.07,0.007911,0.007206
2026-08-31,23089.16,22872.07,0.009491,0.008785
2026-09-01,23241.61,23082.39,0.006898,
2026-09-02,23355.14,23082.39,0.011816,
